City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
417,Tyup,100,KG,1667533102,47,42.7276,78.3648,46.35,2.98
418,Vila Franca do Campo,50,PT,1667533103,96,37.7167,-25.4333,69.19,8.79
419,Camaná,83,PE,1667533103,83,-16.6228,-72.7111,62.91,5.95
420,Batticaloa,60,LK,1667533104,75,7.7102,81.6924,81.19,5.39
421,Oakdale,100,US,1667533104,78,44.963,-92.9649,63.72,6.91
422,Campagna,74,IT,1667533105,88,40.6653,15.1059,62.08,1.01
423,Carballo,96,ES,1667533105,90,43.213,-8.691,57.87,2.71
424,Parrita,100,CR,1667533106,89,9.5201,-84.3225,77.25,2.66
425,Noumea,31,NC,1667532855,73,-22.2763,166.4572,84.18,18.54
426,West Wendover,0,US,1667533106,44,40.7391,-114.0733,33.01,13.8
427,Gisenyi,100,RW,1667533107,90,-1.7028,29.2564,63.32,2.8
428,Sokolo,0,ML,1667533108,18,14.7328,-6.1219,74.68,8.9
429,Yuli,57,NG,1667533109,33,9.6989,10.2744,72,4.81
430,Kathmandu,20,NP,1667533109,68,27.7167,85.3167,64.62,0
431,Nicoya,100,CR,1667533110,93,10.1483,-85.452,74.48,0.78
432,Shingū,48,JP,1667533111,44,33.7333,135.9833,71.11,3.11
433,Sinnamary,98,GF,1667533111,91,5.3833,-52.95,76.89,3.47
434,Upernavik,100,GL,1667533074,64,72.7868,-56.1549,25.34,12.17
435,Mae Hong Son,75,TH,1667533112,73,19.3003,97.9685,78.94,2.3
436,Manbij,0,SY,1667533113,32,36.5281,37.9549,57.42,6.85
437,Nyurba,66,RU,1667533113,84,63.2842,118.3319,9.41,9.71
438,Yuzhno-Kurilsk,39,RU,1667533113,57,44.0306,145.8556,44.85,12.06
439,Maţāy,46,EG,1667533114,76,28.419,30.7792,63.64,9.33
440,Khilok,32,RU,1667533114,45,51.3674,110.4676,33.58,10.58
441,Leshukonskoye,85,RU,1667533115,98,64.8989,45.7622,15.58,0.94
442,Chauk,0,MM,1667533115,50,20.8833,94.8167,83.86,5.23
443,Muravlenko,100,RU,1667533116,97,63.7898,74.523,24.53,5.5
444,Palekastro,0,GR,1667533116,59,35.2,26.25,65.64,5.19
445,Mountain Home,0,US,1667533117,64,43.133,-115.6912,33.28,4.61
446,Villa Rica,0,US,1667533117,99,33.7321,-84.9191,61.68,4.92
447,Antequera,23,ES,1667533118,76,37.0194,-4.5612,62.94,4.68
448,Ghanzi,42,BW,1667533118,68,-21.5667,21.7833,70.2,4.27
449,Finnsnes,92,NO,1667533119,96,69.2296,17.9811,29.01,2.73
450,Knyaginino,100,RU,1667533119,98,55.8228,45.0349,32.86,3.78
451,Ancud,9,CL,1667533119,96,-41.8697,-73.8203,49.89,5.3
452,Vestmannaeyjar,2,IS,1667533120,68,63.4427,-20.2734,41.77,3.09
453,Puerto Madero,100,MX,1667533120,100,14.7208,-92.4215,75.4,5.75
454,Terråk,99,NO,1667533121,86,65.087,12.3715,51.67,8.25
455,Ladário,15,BR,1667533121,56,-19.0047,-57.6017,64.2,6.33
456,Sedalia,40,US,1667533122,60,38.7045,-93.2283,69.85,17.27
457,Kalispell,100,US,1667533122,84,48.1958,-114.3129,33.3,6.91
458,Hérouville-Saint-Clair,75,FR,1667533123,87,49.2109,-0.3065,50.99,11.5
459,Kutum,83,SD,1667533123,29,14.2,24.6667,58.46,5.84
460,Chicama,28,PE,1667533124,83,-7.8447,-79.1469,59.54,4.21
461,Opatovice nad Labem,100,CZ,1667533124,87,50.1454,15.7905,52.43,6.91
462,Narrabri,23,AU,1667533125,41,-30.3167,149.7833,74.52,1.01
463,Vohibinany,77,MG,1667533125,68,-17.35,49.0333,73.6,1.5
464,Dubrovnik,0,HR,1667533126,77,42.6481,18.0922,60.44,12.66
465,Castelldefels,0,ES,1667533126,55,41.2779,1.9703,62.2,8.01
466,Novy Urengoy,7,RU,1667533126,89,66.0833,76.6333,7.81,5.79
467,Terrace,100,CA,1667532856,93,54.5163,-128.6035,37.31,14.97
468,Privolzhskiy,100,RU,1667533127,76,51.4,46.0333,36.3,7.96
469,Mahajanga,75,MG,1667533128,94,-15.7167,46.3167,71.62,6.91
470,Chingirlau,84,KZ,1667533128,96,51.095,54.0814,20.1,7.92
471,Damaturu,100,NG,1667533129,32,11.747,11.9608,71.24,8.21
472,Granville,75,AU,1667533129,63,-33.8333,151.0167,70.21,11.5
473,Bollnäs,100,SE,1667533130,94,61.3482,16.3946,42.4,7.07
474,Dāmghān,5,IR,1667533130,54,36.1683,54.348,52.39,2.42
475,Cassilândia,99,BR,1667532838,69,-19.1133,-51.7342,62.98,8.99
476,Palāsa,10,IN,1667533131,70,18.7667,84.4167,81.68,6.29
477,Orocué,56,CO,1667533132,89,4.7912,-71.3354,67.28,6.42
478,Anadyr,75,RU,1667533132,77,64.75,177.4833,1.9,8.95
479,Mandiana,100,GN,1667533132,37,10.6333,-8.6833,71.1,4.21
480,Were Īlu,5,ET,1667533133,75,10.6,39.4333,47.26,4.94
481,Dwārka,0,IN,1667533133,50,22.2394,68.9678,83.68,5.99
482,Kerikeri,100,NZ,1667533065,76,-35.2268,173.9474,71.91,1.01
483,Tirumullaivāsal,94,IN,1667533134,75,11.2333,79.8333,80.82,11.97
484,Cockburn Town,16,TC,1667532983,73,21.4612,-71.1419,80.08,14.14
485,Yārāda,40,IN,1667533135,83,17.65,83.2667,82.72,6.91
486,Klos,8,AL,1667533135,59,41.5072,20.0851,43.75,5.14
487,Otane,11,NZ,1667533136,49,-39.8833,176.6333,67.01,9.19
488,Luena,90,AO,1667533136,86,-11.7833,19.9167,60.42,2.15
489,Aklavik,100,CA,1667533137,95,68.2191,-135.0107,6.4,10.49
490,Almansa,100,ES,1667533137,79,38.8692,-1.0971,56.91,15.93
491,Bonavista,18,CA,1667533138,64,48.6499,-53.1147,37.18,22.62
492,Gubkinskiy,100,RU,1667533138,96,64.434,76.5026,19.58,5.91
493,Verkhnyaya Balkariya,33,RU,1667533138,79,43.1279,43.4573,36.52,6.26
494,Sur,1,OM,1667533139,37,22.5667,59.5289,81.54,7
495,Benalla,11,AU,1667533140,60,-36.55,145.9833,67.86,4.81
496,Rāichūr,1,IN,1667533140,67,16.2,77.3667,79.07,9.04
497,Saint-François,75,FR,1667533141,76,46.4154,3.9054,47.68,8.05
498,Guardiagrele,100,IT,1667533141,58,42.1954,14.2198,62.78,15.01
499,Karaman Province,41,TR,1667533142,49,37.0833,33.25,45.03,2.13
500,Morant Bay,27,JM,1667533063,84,17.8815,-76.4093,80.22,8.25
501,Cobija,9,BO,1667533142,47,-11.0267,-68.7692,63.36,3.47
502,Sept-Îles,75,CA,1667533143,86,50.2001,-66.3821,33.8,4.61
503,Saryozek,100,KZ,1667533144,39,44.3583,77.9753,49.33,1.59
504,Palana,100,RU,1667533144,78,59.1167,159.9667,28.78,9.19
505,Coyhaique,0,CL,1667533145,72,-45.5752,-72.0662,57.15,3.44
506,Laje,100,BR,1667533145,95,-10.1833,-40.9667,70.88,2.98
507,Houma,75,US,1667532920,97,29.5958,-90.7195,70,6.91
508,Gouyave,75,GD,1667533146,83,12.1646,-61.7296,81.37,17.27
509,Massakory,100,TD,1667533147,19,12.996,15.7293,73.99,10.51
510,Sangar,100,RU,1667533147,91,63.9242,127.4739,7.92,2.66
511,Dajal,56,PK,1667533148,28,29.5577,70.3762,82.26,7.52
512,Mbanza-Ngungu,97,CD,1667533148,99,-5.25,14.8667,66.36,2.89
513,Vardø,75,NO,1667533149,93,70.3705,31.1107,35.58,17.27
514,Esperance,49,AU,1667533149,36,-33.8667,121.9,80.24,14
515,Voi,17,KE,1667533150,80,-3.3945,38.563,69.89,3.44
516,The Valley,97,AI,1667533150,75,18.217,-63.0578,82.26,13.47
517,Berlevåg,100,NO,1667533151,81,70.8578,29.0864,41,27.63
518,Los Llanos de Aridane,75,ES,1667533152,69,28.6585,-17.9182,67.75,10.36
519,Qaryat Sulūq,0,LY,1667533152,83,31.6682,20.2521,62.31,0.58
